2020-09-01T19:23:25.3683919+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2020-09-01T19:23:25.4585596+05:30  [INF] Hosting environment: "Development" (c3307c92)
2020-09-01T19:23:25.5354114+05:30  [INF] Content root path: "D:\FinalProject\LoanManagementProject\UserManagement" (b5d60022)
2020-09-01T19:24:40.4704388+05:30 80000004-0001-ff00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T19:24:51.0470023+05:30 80000005-0001-ff00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T19:27:40.7099066+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2020-09-01T19:27:40.7702088+05:30  [INF] Hosting environment: "Development" (c3307c92)
2020-09-01T19:27:40.7879159+05:30  [INF] Content root path: "D:\FinalProject\LoanManagementProject\UserManagement" (b5d60022)
2020-09-01T19:28:19.5515276+05:30 80000005-0002-f900-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T19:28:28.3112237+05:30 80000006-0002-f900-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:37:28.4452774+05:30 80000004-0003-f100-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:37:45.9585889+05:30 80000002-0003-f000-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:38:27.0439672+05:30 80000009-0001-ff00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:38:42.7425115+05:30 80000008-0000-fb00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:40:55.6175499+05:30 80000004-0003-f000-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:41:18.0200071+05:30 80000005-0002-fa00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:44:39.2373297+05:30 8000000a-0003-f100-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:45:38.1157172+05:30 8000000c-0000-fb00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:45:55.3912251+05:30 8000000e-0000-fb00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:48:20.0753960+05:30 8000000e-0002-f900-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:48:52.2836963+05:30 80000010-0002-f900-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:50:01.9584395+05:30 80000013-0001-ff00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:50:05.5912000+05:30 80000012-0002-f900-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:50:08.0296040+05:30 80000006-0000-fc00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:50:11.7043239+05:30 80000006-0003-f000-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:50:11.7156338+05:30 80000002-0003-ef00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:50:47.8517429+05:30 80000014-0000-fb00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:50:58.6424009+05:30 80000004-0003-ef00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:54:17.5024840+05:30 80000009-0000-fd00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:54:20.3084631+05:30 8000000b-0000-fd00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:54:30.4794826+05:30 8000000d-0000-fd00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:54:37.8622662+05:30 80000015-0001-ff00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:55:10.3856644+05:30 80000007-0002-fa00-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
2020-09-01T20:55:22.7707589+05:30 80000008-0003-f000-b63f-84710c7967bb [INF] ConfirmLogin Controller returned token (a402d1cd)
